parkId,RPrkId,Name,Tenure,Region,District,Longitude,Latitude,Status,CreateDate,CreatedBy,ContactId
2,1082.0,Alexander Morrison,National Park,Australia's Coral Coast,Cervantes & Jurien Bay,115.5800018,-30.05089951,Active,,,16.0
3,709.0,Avon Valley,National Park,Experience Perth,Perth Hills,116.2210007,-31.61030006,Active,,,20.0
4,406.0,Badgingarra,National Park,Australia's Coral Coast,Cervantes & Jurien Bay,115.4609985,-30.39889908,Active,,,16.0
5,1043.0,Banyowla,Regional Park,Experience Perth,Perth Hills,116.0250015,-32.08539963,Active,,,27.0
6,1131.0,Barrow Island,Marine Park,Australia's North West,Pilbara,115.322998,-20.75880051,Active,,,18.0
7,901.0,Beeliar,Regional Park,Experience Perth,Perth Coast & Plain,115.8399963,-32.21730042,Active,,,27.0
8,1045.0,Beelu,National Park,Experience Perth,Perth Hills,116.1429977,-31.94140053,Active,,,11.0
9,10003.0,Bibbulmun Track Blackwood,,South West,Blackwood,115.9840012,-33.78689957,Active,,,5.0
10,10002.0,Bibbulmun Track Collie,,South West,Wellington,116.1500015,-33.35910034,Active,,,13.0
11,10000.0,Bibbulmun Track Darling Range,,Swan,Perth Hills,116.060997,-31.97310066,Active,,,20.0
12,10008.0,Bibbulmun Track Denmark Albany,,South Coast,Albany,117.3659973,-34.9693985,Active,,,3.0
13,10004.0,Bibbulmun Track Donnelly River,,Australia's South West,Southern Forests - Pemberton,115.9779968,-34.10250092,Active,,,23.0
14,10001.0,Bibbulmun Track Dwellingup,,Swan,Perth Hills,116.0630035,-32.71179962,Active,,,20.0
15,10006.0,Bibbulmun Track Northcliffe,,Australia's South West,Southern Forests - Pemberton,116.1240005,-34.6332016,Active,,,23.0
16,10005.0,Bibbulmun Track Pemberton,,Australia's South West,Southern Forests - Pemberton,116.0329971,-34.44609833,Active,,,23.0
17,10007.0,Bibbulmun Track Walpole,,Australia's South West,Southern Forests - Walpole Wilderness,116.7279968,-34.9754982,Active,,,26.0
18,541.0,Big Brook,State Forest,Australia's South West,Southern Forests - Pemberton,116.0070038,-34.39139938,Active,,,23.0
19,35.0,Blackwood River,National Park,Australia's South West,South West Capes & Blackwood River Valley,115.3570023,-34.07109833,Active,,,5.0
20,181.0,Boorabbin,National Park,Australia's Golden Outback,Kalgoorlie & Goldfields,120.1650009,-31.23329926,Active,,,17.0
21,531.0,Boorara - Gardner,National Park,Australia's South West,Southern Forests - Pemberton,116.2600021,-34.69010162,Active,,,23.0
22,166.0,Boyagin,Nature Reserve,Australia's Golden Outback,Wheatbelt,116.8879852,-32.47159958,Active,,,22.0
23,37.0,Wooditjup,National Park,Australia's South West,South West Capes & Blackwood River Valley,115.1149979,-33.95949936,Active,,,5.0
