parkId,RPrkId,Name,Tenure,Region,District,Longitude,Latitude,Status,CreateDate,CreatedBy,ContactId
2,1082,Alexander Morrison,National Park,Australia's Coral Coast,Cervantes & Jurien Bay,115.5800018,-30.05089951,Active,,,16
3,709,Avon Valley,National Park,Experience Perth,Perth Hills,116.2210007,-31.61030006,Active,,,20
4,406,Badgingarra,National Park,Australia's Coral Coast,Cervantes & Jurien Bay,115.4609985,-30.39889908,Active,,,16
5,1043,Banyowla,Regional Park,Experience Perth,Perth Hills,116.0250015,-32.08539963,Active,,,27
6,1131,Barrow Island,Marine Park,Australia's North West,Pilbara,115.322998,-20.75880051,Active,,,18
7,901,Beeliar,Regional Park,Experience Perth,Perth Coast & Plain,115.8399963,-32.21730042,Active,,,27
8,1045,Beelu,National Park,Experience Perth,Perth Hills,116.1429977,-31.94140053,Active,,,11
9,10003,Bibbulmun Track Blackwood,,South West,Blackwood,115.9840012,-33.78689957,Active,,,5
10,10002,Bibbulmun Track Collie,,South West,Wellington,116.1500015,-33.35910034,Active,,,13
11,10000,Bibbulmun Track Darling Range,,Swan,Perth Hills,116.060997,-31.97310066,Active,,,20
12,10008,Bibbulmun Track Denmark Albany,,South Coast,Albany,117.3659973,-34.9693985,Active,,,3
13,10004,Bibbulmun Track Donnelly River,,Australia's South West,Southern Forests - Pemberton,115.9779968,-34.10250092,Active,,,23
14,10001,Bibbulmun Track Dwellingup,,Swan,Perth Hills,116.0630035,-32.71179962,Active,,,20
15,10006,Bibbulmun Track Northcliffe,,Australia's South West,Southern Forests - Pemberton,116.1240005,-34.6332016,Active,,,23
16,10005,Bibbulmun Track Pemberton,,Australia's South West,Southern Forests - Pemberton,116.0329971,-34.44609833,Active,,,23
17,10007,Bibbulmun Track Walpole,,Australia's South West,Southern Forests - Walpole Wilderness,116.7279968,-34.9754982,Active,,,26
18,541,Big Brook,State Forest,Australia's South West,Southern Forests - Pemberton,116.0070038,-34.39139938,Active,,,23
19,35,Blackwood River,National Park,Australia's South West,South West Capes & Blackwood River Valley,115.3570023,-34.07109833,Active,,,5
20,181,Boorabbin,National Park,Australia's Golden Outback,Kalgoorlie & Goldfields,120.1650009,-31.23329926,Active,,,17
21,531,Boorara - Gardner,National Park,Australia's South West,Southern Forests - Pemberton,116.2600021,-34.69010162,Active,,,23
22,166,Boyagin,Nature Reserve,Australia's Golden Outback,Wheatbelt,116.8879852,-32.47159958,Active,,,22
23,37,Wooditjup,National Park,Australia's South West,South West Capes & Blackwood River Valley,115.1149979,-33.95949936,Active,,,5
24,187,Burra,Conservation Park,Australia's Golden Outback,Kalgoorlie & Goldfields,121.1969986,-31.3885994,Active,,,17
25,866,Canning River,Regional Park,Experience Perth,Perth Coast & Plain,115.9280014,-32.02170181,Active,,,27
26,334,Cape Arid,National Park,Australia's Golden Outback,Esperance & South East Coast,123.3690033,-33.51900101,Active,,,14
27,333,Cape Le Grand,National Park,Australia's Golden Outback,Esperance & South East Coast,122.2210007,-33.95190048,Active,,,14
28,410,Cape Range,National Park,Australia's Coral Coast,Ningaloo Coast World Heritage Area,113.8679962,-22.15870094,Active,,,8
29,885,Carnac Island,Nature Reserve,Experience Perth,Perth Coast & Plain,115.663002,-32.12179947,Active,,,25
30,703,Coalseam,Conservation Park,Australia's Coral Coast,Cervantes & Jurien Bay,115.5540009,-28.96279907,Active,,,15
31,429,Collier Range,National Park,Australia's North West,Pilbara,119.0719986,-24.65189934,Active,,,18
32,1060,Credo,former pastoral lease,Australia's Golden Outback,Kalgoorlie & Goldfields,120.7779999,-30.36520004,Active,,,17
