 id  |                                     name                                     | contactid |          officename          
-----+------------------------------------------------------------------------------+-----------+------------------------------
   2 | 4 Mile Campground                                                            |         3 | Albany
   3 | Alexander Morrison                                                           |           | 
   4 | Alyi-wa Miya                                                                 |        20 | Mundaring
   6 | Andrew Forest Block                                                          |           | 
   7 | Andrew State Forest                                                          |           | 
  12 | Arklow State Forest                                                          |        13 | Collie
  13 | Arklow State Forrest                                                         |        13 | Collie
  10 | Arklow Forest                                                                |           | 
  23 | Beedelup Campsite                                                            |        23 | Pemberton
  14 | Avon Valley                                                                  |           | 
  15 | Badgingarra                                                                  |           | 
  27 | Benwenerup (formerly Stokes) National Park                                   |        14 | Esperance
  29 | Bibbulmum Track - Mount Hallowell near Denmark                               |        26 | Walpole
  34 | Bibbulmun Track - Helena National Park                                       |        20 | Mundaring
  19 | Bandilngan (Windjana Gorge)                                                  |           | 
  20 | Banyowla                                                                     |           | 
  21 | Barkers Inlet Nature Reserve                                                 |           | 
  42 | Bibbulmun Track Dale                                                         |        11 | Perth Hills Discovery Centre
  46 | Bibbulmun Track Dog Pool Campsite                                            |        23 | Pemberton
  25 | Beeliar                                                                      |           | 
  26 | Beelu                                                                        |           | 
  50 | Bibbulmun Track Gleneagle                                                    |        20 | Mundaring
  53 | Bibbulmun Track Kalamunda                                                    |        20 | Mundaring
  33 | Bibbulmun Track - Glen Mervyn Dam                                            |           | 
  36 | Bibbulmun Track - Wilson Inlet                                               |           | 
  37 | Bibbulmun Track Balingup                                                     |           | 
  39 | Bibbulmun Track Blackwood Campsite                                           |           | 
  40 | Bibbulmun Track Blackwood Shelter                                            |           | 
  41 | Bibbulmun Track Collie                                                       |           | 
  43 | Bibbulmun Track Darling Range                                                |           | 
  44 | Bibbulmun Track Denmark                                                      |           | 
  45 | Bibbulmun Track Denmark Albany                                               |           | 
  47 | Bibbulmun Track Donnelly River                                               |           | 
  48 | Bibbulmun Track Donnelly River Village                                       |           | 
  49 | Bibbulmun Track Dwellingup                                                   |           | 
  55 | Bibbulmun Track Mundaring                                                    |           | 
  57 | Bibbulmun Track Northcliffe                                                  |           | 
  58 | Bibbulmun Track Pemberton                                                    |           | 
  61 | Bibbulmun Track Rame Head Campsite                                           |           | 
  62 | Bibbulmun Track Walpole                                                      |           | 
  65 | Big Brook                                                                    |           | 
  54 | Bibbulmun Track Lake Maringup                                                |        23 | Pemberton
  67 | Blackwood River                                                              |           | 
  56 | Bibbulmun Track Nerang                                                       |        11 | Perth Hills Discovery Centre
  59 | Bibbulmun Track Pingerup Raod                                                |        26 | Walpole
  63 | Bibbulmun Track Warren Campsite                                              |        23 | Pemberton
  77 | Boorara - Gardner                                                            |           | 
  64 | Bibbulmun Track Woolbales Campsite                                           |        26 | Walpole
  69 | Bluff Knoll and The Stirling Range Ridge Walk                                |         3 | Albany
  72 | Boodie Island                                                                |        18 | Karratha
  81 | Bramley                                                                      |           | 
  83 | Bridge works adjacent to the Trail - Map 9b                                  |           | 
  73 | Boom Boom Trail                                                              |        30 | Dwellingup
  86 | Bundegi Boat Ramp                                                            |           | 
  87 | Bundegi Coastal Park, Jurabi Coastal Park and Ningaloo Marine Park           |           | 
  74 | Boondi Rock                                                                  |        17 | Kalgoorlie
  89 | Burra                                                                        |           | 
  75 | Booner Mundak Hut                                                            |        26 | Walpole
  76 | Boorabbin                                                                    |        17 | Kalgoorlie
  82 | Brides Cave                                                                  |         5 | Busselton
  97 | Canning River                                                                |           | 
  98 | Cape Arid                                                                    |           | 
  99 | Cape Le Grand                                                                |           | 
 101 | Cape Range                                                                   |           | 
 102 | Cape to Cape - Margaret Rivermouth                                           |           | 
  84 | Brockway Timber Reserve                                                      |        14 | Esperance
  90 | Burra Rock                                                                   |        17 | Kalgoorlie
 106 | Cardac and Mooralup Forest Blocks                                            |           | 
  95 | Camp Quaranup                                                                |         3 | Albany
 108 | Carinyah Campsite / NE of Canning Reservoir                                  |           | 
 109 | Carnac Island                                                                |           | 
 112 | Cave Hill Conservation Park                                                  |           | 
 115 | Chariup Forest Block                                                         |           | 
 118 | Coalseam                                                                     |           | 
 119 | Cobiac forest block, Jarrahdale State Forest                                 |           | 
 121 | Collie State Forest                                                          |           | 
 123 | Collins and Nairn State Forests                                              |           | 
 124 | Construction diversion - Ordnance Bridge - map 7b                            |           | 
 134 | Crowea Forest Block                                                          |           | 
 120 | Collie                                                                       |           | 
 135 | D'Entrecasteaux                                                              |           | 
 138 | Dales Campground, Karijini National Park                                     |           | 
 141 | DBCA - Walpole Office                                                        |           | 
  93 | Cambray State Forest                                                         |         5 | Busselton
  94 | Camp Creek Conservation Reserve                                              |        19 | Kununurra
 145 | Denmark Catchment State Forest                                               |           | 
 146 | Department of Biodiversity, Conservation and Attractions                     |           | 
 147 | Diamond                                                                      |           | 
 148 | Dick Perry Reserve                                                           |           | 
 149 | Dimalurru (Tunnel Creek)                                                     |           | 
 150 | Dingup Forest Block                                                          |           | 
 151 | Dirk Hartog Island                                                           |           | 
 100 | Cape Leeuwin Lighthouse                                                      |         5 | Busselton
 104 | Captain Fawcett 4WD Track                                                    |        30 | Dwellingup
 110 | Castle Rock                                                                  |         3 | Albany
 155 | Dookanelly Campsite / S of Dwellingup                                        |           | 
 156 | Drovers Cave                                                                 |           | 
 157 | Dryandra Woodland                                                            |           | 
 158 | Drysdale River                                                               |           | 
 162 | E of Jarrahdale/Monadnocks Campsite                                          |           | 
 163 | E of Stirling Dam                                                            |           | 
