name,latitude,longitude,contact,email,rprkid,,
3 Ways,-33.29380356,116.0523605,NULL,NULL,NULL,,
4 Mile Campground,-33.92267515,120.0386553,+61 (08) 9842 4500,albany@dbca.wa.gov.au,232,,
Alexander Morrison,-30.05089951,115.5800018,+61 (0)8 9688 6000,jurien@dbca.wa.gov.au,1082,,
Alyi-wa Miya,-32.32853124,116.2428617,+61 (08) 9290 6100,mundaring@dbca.wa.gov.au,NULL,,
Alyi-wa Miya Group Campsite,-32.32892376,116.2415045,NULL,NULL,NULL,,
Andrew Forest Block,-34.13447064,115.8309817,+61 (0)8 9776 1207,donnellyd@dbca.wa.gov.au,NULL,,
Andrew State Forest,-34.13452392,115.8319044,+61 (0)8 9776 1207,donnellyd@dbca.wa.gov.au,NULL,,
Arcadia Campsite,-33.42427808,115.9728813,NULL,NULL,NULL,,
Arcadia Group Campsite,-33.42228884,115.9719533,NULL,NULL,NULL,,
Arklow Forest,-33.30318345,116.1427617,(08) 9735 1988,wellington@dbca.wa.gov.au,NULL,,
Arklow Mountain Bike Trails,-33.2819304,116.1237958,NULL,NULL,NULL,,
Arklow State Forest,-33.29395764,116.095745,+61 (08) 9735 1988,wellington@dbca.wa.gov.au,NULL,,
Arklow State Forrest,-33.2813202,116.1081388,+61 (08) 9735 1988,wellington@dbca.wa.gov.au,NULL,,
Avon Valley,-31.63701399,116.210289,+61 (0)8 9290 6100,mundaring@dbca.wa.gov.au,709,,
Badgingarra,-30.39889908,115.4609985,+61 (0)8 9688 6000,jurien@dbca.wa.gov.au,406,,
Balban and Yendicup Forest Blocks,-34.08849266,116.5642548,NULL,NULL,NULL,,
Bald Head and Ismuth Hill,-35.09901985,117.970435,NULL,NULL,NULL,,
Ball Creek Campsite,-31.95332745,116.189003,NULL,NULL,NULL,,
Bandilngan (Windjana Gorge),-17.42149925,124.9860001,+61 (0)8 9195 5500,broome@dbca.wa.gov.au,997,,
Banyowla,-32.08539963,116.0250015,+61 (0)8 9442 0300,regional.parks@dbca.wa.gov.au,1043,,
Barkers Inlet Nature Reserve,-33.80140294,121.3419342,+61 (0)8 9083 2100,esperance_admin@dbca.wa.gov.au,NULL,,
Beavis Campsite,-34.31187094,115.8409166,NULL,NULL,NULL,,
